Cat.,Zaneen Model #,Series,Description, CAD MSRP  , USD MSRP  
A,L2233416,SYNTHESIS,Surface -15.7W LED -120V -4000K -Optic:50° -2004lm -White -Prismatic Diffuser,872.00,702.00
A,L2233515,SYNTHESIS,Surface -15.7W LED -120V -3000K -Optic:50° -1939lm -Black -Prismatic Diffuser,872.00,702.00
A,L2233516,SYNTHESIS,Surface -15.7W LED -120V -3000K -Optic:50° -1939lm -White -Prismatic Diffuser,872.00,702.00
A,L2244615,SYNTHESIS,Surface - 50W QR-CB 51 / 10W LED - GU5.3 -120V - Black,652.00,524.00
A,L2244616,SYNTHESIS,Surface - 50W QR-CB 51 / 10W LED - GU5.3 -120V -White,652.00,524.00
A,L2233615,SYNTHESIS,Surface -15.7W LED -120V -3000K -Optic:15° -Adjustable -1939lm -Black -Transparent Diffuser,906.00,730.00
A,L2233616,SYNTHESIS,Surface -15.7W LED -120V -3000K -Optic:15° -Adjustable -1939lm -White -Transparent Diffuser,906.00,730.00
A,L2233715,SYNTHESIS,Surface -15.7W LED -120V -3000K -Optic:25° -Adjustable -1939lm -Black -Transparent Diffuser,906.00,730.00
A,L2233716,SYNTHESIS,Surface -15.7W LED -120V -3000K -Optic:25° -Adjustable -1939lm -White -Transparent Diffuser,906.00,730.00
A,L2233815,SYNTHESIS,Surface -15.7W LED -120V -4000K -Optic:15° -Adjustable -2004lm -Black -Transparent Diffuser,906.00,730.00
A,L2233816,SYNTHESIS,Surface -15.7W LED -120V -4000K -Optic:15° -Adjustable -2004lm -White -Transparent Diffuser,906.00,730.00
A,L2233915,SYNTHESIS,Surface -15.7W LED -120V -4000K -Optic:25° -Adjustable -2004lm -Black -Transparent Diffuser,906.00,730.00
A,L2233916,SYNTHESIS,Surface -15.7W LED -120V -4000K -Optic:25° -Adjustable -2004lm -White -Transparent Diffuser,906.00,730.00
A,L2234015,SYNTHESIS,Surface -15.7W LED -120V -4000K -Optic:50° -Adjustable -2004lm -Black -Prismatic  Diffuser,954.00,770.00
A,L2234016,SYNTHESIS,Surface -15.7W LED -120V -4000K -Optic:50° -Adjustable -2004lm -White -Prismatic Diffuser,954.00,770.00
A,L2234115,SYNTHESIS,Surface -15.7W LED -120V -3000K -Optic:50° -Adjustable -1939lm -Black -Prismatic Diffuser,954.00,770.00
A,L2234116,SYNTHESIS,Surface -15.7W LED -120V -3000K -Optic:50° -Adjustable -1939lm -White -Prismatic Diffuser,954.00,770.00
A,L2244315,SYNTHESIS,Surface - 50W QR-CB 51 / 10W LED - GU5.3 -120V - Black,668.00,538.00
A,L2244316,SYNTHESIS,Surface - 50W QR-CB 51 / 10W LED - GU5.3 -120V -White,668.00,538.00
A,L2722215,KY,Track Spot - 17.5W LED -120V -4000K -2471lm -Black,840.00,676.00
A,L2722278,KY,Track Spot - 17.5W LED -120V -4000K -2471lm -White / Black,840.00,676.00
A,L2722285,KY,Track Spot - 17.5W LED -120V -4000K -2471lm -Silver-Gray /Black,840.00,676.00
A,L2722315,KY,Track Spot - 17.5W LED -120V -3000K -2392lm -Black,840.00,676.00
A,L2722378,KY,Track Spot - 17.5W LED -120V -3000K -2392lm -White / Black,840.00,676.00
A,L2722385,KY,Track Spot - 17.5W LED -120V -3000K -2392lm - Silver-Gray /Black,840.00,676.00
A,L2722415,KY,Track Spot - 25W LED -120V -4000K -3204lm -Black,890.00,716.00
A,L2722478,KY,Track Spot - 25W LED -120V -4000K -3204lm - White / Black,878.00,706.00
A,L2722485,KY,Track Spot - 25W LED -120V -4000K -3204lm - Silver-Gray /Black,878.00,706.00
A,L2722515,KY,Track Spot - 25W LED -120V -3000K -3101lm - Black,878.00,706.00
A,L2722578,KY,Track Spot - 25W LED -120V -3000K -3101lm - White / Black,878.00,706.00
A,L2722585,KY,Track Spot - 25W LED -120V -3000K -3101lm - Silver-Gray /Black,890.00,716.00
A,L2678515,KY,Track Spot 50W GU5.3 120V Black,676.00,544.00
A,L2678578,KY,Track Spot 50W GU5.3 120V White/Polished Chrome,676.00,544.00
A,L2678585,KY,Track Spot 50W GU5.3 120V Silver Gray/Black,676.00,544.00
A,L2722715,KY,Track Spot - 17.5W LED -120V -4000K -2471lm -Adjustable - Black,922.00,742.00
A,L2722778,KY,Track Spot - 17.5W LED -120V -4000K -2471lm -Adjustable - White / Black,922.00,742.00
A,L2722785,KY,Track Spot - 17.5W LED -120V -4000K -2471lm -Adjustable -Silver-Gray /Black,922.00,742.00
A,L2722815,KY,Track Spot - 17.5W LED -120V -3000K -2392lm - Adjustable -Black,922.00,742.00
